occupation_id,isco08_code,match_type
732933,8114,exact
732934,8114,exact
732999,8114,partial
732231,8121,partial
331932,8122,exact
731132,8122,partial
732231,8122,partial
731931,8131,exact
461936,8132,partial
731936,8132,partial
731999,8132,partial
731334,8141,exact
399931,8142,partial
731331,8142,exact
731332,8142,exact
731333,8142,exact
731399,8142,exact
731231,8143,partial
731432,8151,partial
731432,8152,partial
731431,8153,exact
731432,8154,partial
731432,8155,partial
731432,8156,partial
811331,8157,partial
811332,8157,partial
731432,8159,partial
831131,8160,exact
831132,8160,exact
831133,8160,partial
831134,8160,partial
831135,8160,partial
831136,8160,exact
831137,8160,exact
831138,8160,exact
831141,8160,exact
831199,8160,partial
831331,8160,partial
831332,8160,partial
831333,8160,partial
731231,8171,partial
731232,8172,partial
731932,8181,exact
731935,8181,exact
732931,8182,exact
832131,8183,partial
832132,8183,partial
832133,8183,partial
832134,8183,partial
832135,8183,partial
731999,8189,partial
732999,8189,partial
741933,8189,exact
832231,8211,partial
832231,8212,partial
832231,8219,partial
711331,8311,exact
711332,8311,exact
399937,8312,exact
732935,8312,exact
741934,8312,exact
712231,8321,partial
442931,8322,exact
711131,8322,exact
711132,8322,exact
711133,8322,exact
711134,8322,exact
711199,8322,exact
712231,8322,partial
712232,8322,partial
711231,8331,exact
711232,8331,exact
711233,8331,exact
711333,8331,exact
712131,8332,exact
713131,8332,exact
713132,8332,exact
713231,8332,exact
713232,8332,exact
741932,8332,exact
741131,8341,exact
741132,8341,partial
741231,8342,exact
741232,8342,exact
741233,8342,exact
741234,8342,exact
741235,8342,exact
741236,8342,exact
741237,8342,exact
741935,8342,exact
741936,8342,exact
741938,8342,exact
741999,8342,exact
732131,8343,exact
741937,8343,partial
741331,8344,exact
899231,8350,exact
811231,9111,exact
471931,9112,exact
811131,9112,partial
811431,9112,partial
811331,9121,partial
811332,9121,partial
811531,9122,exact
811933,9123,exact
811931,9129,exact
811932,9129,exact
811999,9129,partial
899937,9129,exact
841131,9211,exact
841132,9211,exact
841133,9211,exact
841134,9211,exact
841135,9211,exact
841136,9211,exact
841137,9211,exact
841138,9211,exact
841141,9211,exact
841142,9211,exact
841199,9211,exact
842933,9211,partial
841231,9212,exact
841232,9212,exact
841233,9212,exact
841234,9212,exact
841235,9212,exact
841236,9212,exact
841237,9212,exact
841238,9212,exact
841241,9212,exact
841299,9212,exact
841332,9213,exact
841399,9213,exact
842131,9214,exact
842231,9214,exact
842933,9214,partial
842931,9215,exact
842932,9215,partial
841331,9216,exact
821931,9311,exact
821933,9311,exact
821135,9312,exact
821531,9312,exact
821631,9312,exact
821935,9312,exact
821936,9312,exact
361131,9313,partial
821131,9313,exact
821132,9313,exact
821133,9313,exact
821134,9313,exact
821232,9313,exact
821331,9313,exact
821432,9313,partial
821434,9313,partial
821499,9313,partial
821633,9313,exact
821732,9313,exact
899933,9313,exact
832131,9321,partial
832132,9321,partial
832133,9321,partial
832134,9321,partial
832135,9321,partial
721131,9329,partial
721132,9329,partial
839136,9329,exact
839141,9329,exact
839131,9329,exact
839132,9329,exact
839133,9329,exact
839134,9329,exact
839135,9329,exact
839137,9329,exact
839199,9329,partial
712231,9331,partial
899999,9332,partial
721131,9333,partial
721132,9333,partial
732932,9333,exact
741931,9333,exact
741937,9333,partial
891131,9333,exact
891132,9333,exact
891231,9334,exact
851131,9411,exact
851231,9412,exact
851232,9412,exact
851233,9412,exact
851299,9412,exact
899999,9510,partial
631934,9520,partial
899935,9611,exact
631932,9612,exact
839138,9612,exact
811999,9613,partial
471932,9621,exact
712231,9621,partial
899934,9621,exact
899331,9622,exact
591135,9623,exact
899941,9623,exact
842999,9624,partial
471999,9629,partial
619931,9629,partial
899433,9629,exact
899532,9629,exact
899931,9629,exact
899936,9629,exact
899938,9629,exact
899999,9629,partial
