osca_code,osca_title
599932,Customs Broker
521131,Conveyancer
521234,Law Clerk
521231,Clerk of Court
521232,Court Bailiff or Sheriff
521233,Court Orderly
281234,Judge's Associate
521236,Trust Officer
549133,Debt Collector
599231,Human Resources Administration Assistant
599232,Rostering Officer
451931,Border Enforcement Operations Officer
591233,Visa and Citizenship Processing Officer
591136,Motor Vehicle Licence Examiner
591134,"Invasive Pest, Weed and Disease Inspector"
591231,Social Security Assessor
591232,Taxation Compliance Officer
591999,Inspectors and Regulatory Officers nec
591141,Water Inspector
591131,Aerodrome Reporting Officer
591132,Council Ranger
591133,Electrical Asset Inspector
591138,Transport Revenue Officer
531531,Insurance Investigator
531532,Insurance Loss Adjuster
531533,Insurance Risk Surveyor
599132,Library Assistant
599934,"Production Assistant (Audio, Screen or Live Performance)"
599935,"Production Coordinator (Audio, Screen or Live Performance)"
599936,Radio Dispatcher
599931,Clinical Coder
599933,Facilities Administrator
619131,Marketing Assistant
622231,Auctioneer
622234,Stock and Station Agent
621131,Insurance Agent
621231,Sales Representative (Building and Plumbing Supplies)
621232,Sales Representative (Business Services)
621233,Sales Representative (Motor Vehicle Parts and Accessories)
621234,Sales Representative (Personal and Household Goods)
621299,Sales Representatives nec
531331,Business Broker
599937,Strata Manager
622131,Property Manager
171431,Real Estate Agency Principal
622232,Real Estate Agent
622233,Real Estate Representative
631131,Sales Assistant (General)
631331,ICT Sales Assistant
631431,Motor Vehicle or Caravan Salesperson
631432,Motor Vehicle Parts Interpreter
631231,Community Pharmacy Sales Assistant
631531,Retail Supervisor
631631,Service Station Attendant
631934,Street Vendor
631931,Door-to-door Salesperson
631932,Materials Recycler
631933,Rental Salesperson
631999,Sales Assistants and Salespersons nec
471431,Gaming Attendant
611131,Checkout Operator
619132,Model
619133,Sales Demonstrator
619932,Merchandise Planner
619935,Retail Buyer
619999,Sales Support Workers nec
619134,Telemarketer
461931,Airline Customer Support Worker
619931,Entertainment Venue Attendant
619934,Reservations Agent
899532,Railways Assistant
899531,Rail Guard or Conductor
461932,Fashion Stylist
619135,Visual Merchandiser
619933,Personal Shopper
731932,Clay Products Machine Operator
731933,Concrete Products Machine Operator
731935,Glass Production Machine Operator
731938,Stone Processing Machine Operator
731999,Machine Operators nec
731131,Industrial Spray Painter
731231,Paper and Pulp Production Operator
731232,Timber and Wood Production Operator
731936,Photographic Print Processor
731332,Plastics Production Machine Operator
731331,Plastics Fabricator or Welder
731333,Reinforced Plastic and Composite Production Worker
731334,Rubber Production Machine Operator
731399,Plastics and Rubber Production Machine Operators nec
731431,Sewing Machinist
731432,Textile or Footwear Production Machine Operator
731931,Chemical Production Machine Operator
731132,Sandblaster
731937,Sterilisation Technician
732131,"Crane, Hoist or Lift Operator"
399231,Driller
732331,Miner
732332,Shot Firer
732231,Engineering Production Worker
732931,Boiler or Engine Operator
732932,Bulk Materials Handling Plant Operator
731934,Crushing Machine Operator
732999,Stationary Plant Operators nec
732933,Concrete Batching Plant Operator
732934,Concrete Pump Operator
732935,Railway Signal Operator
741934,Railway Shunter
399937,Railway Network Controller
732431,Wastewater or Water Plant Operator
732936,Weighbridge Operator
741131,Agricultural and Horticultural Mobile Plant Operator
741132,Logging Plant Operator
741231,Earthmoving Plant Operator (General)
741232,Backhoe Operator
741233,Bulldozer Operator
741234,Excavator Operator
741235,Grader Operator
741236,Loader Operator
741331,Forklift Driver
741931,Aircraft Baggage Handler and Ground Crew
741933,Linemarker
741999,Mobile Plant Operators nec
741935,Railway Track Plant Operator
741936,Road Roller Operator
741938,Streetsweeper Operator
741237,Tunnel Constructor
741937,Stevedore
711131,Chauffeur
711134,Taxi Driver
711132,Oversize Load Pilot Escort
711133,Rideshare Driver
711199,Automobile Drivers nec
711231,Bus Driver
711232,Charter and Tour Bus Driver
711233,Passenger Coach Driver
711331,Freight Train Driver
711332,Passenger Train Driver
711333,Tram Driver
713131,Truck Driver (General)
713231,Articulated Truck Driver
741932,Aircraft Refueller
712131,Furniture Removalist
713232,Tanker Truck Driver
713132,Tow Truck Driver
721131,Storeperson
721132,Warehouse Supervisor
811531,Vehicle Detailer
811131,Commercial Cleaner
811231,Domestic Cleaner
811431,Commercial Housekeeper
811432,Domestic Housekeeper
811332,Laundry Worker
811331,Drycleaner
811931,Carpet Cleaner
811933,Window Cleaner
811932,Roof Gutter Cleaner
811999,Cleaners and Laundry Workers nec
899937,Swimming Pool or Spa Technician
821131,Asbestos Removalist
821132,Builder's Labourer
821134,Demolition Labourer
821632,Pipe Layer
821631,"Drainage, Sewerage and Stormwater Labourer"
821135,Earthmoving Labourer
821633,Plumber's Assistant
371231,Concreter
821133,Concreter's Labourer
821331,Fencer
369933,Waterproofer
821431,Building Insulation Installer
369932,Swimming Pool and Spa Builder
821432,Garage Door Installer
821433,Shed Builder
821434,Window Furnishing Installer
821499,Home Improvement and Insulation Installers nec
821531,Paving and Surfacing Labourer
821934,Rail Protection Officer
821935,Railway Track Worker
821231,Construction Rigger
