skill_id,label,category
skill_hec_hms,HEC-HMS,technical
skill_ptv_vissim,PTV Vissim,technical
skill_openroads_designer,OpenRoads Designer,technical
skill_cubic_synchro_studio,Cubic Synchro Studio,technical
skill_mathworks_simulink,MathWorks Simulink,technical
skill_dassault_systemes_catia,Dassault Systemes CATIA,technical
skill_lumion,Lumion,technical
skill_ptc_creo_parametric,PTC Creo Parametric,technical
skill_servicenow,ServiceNow,technical
skill_google_android,Google Android,technical
skill_on_center_on_screen_takeoff,On Center On-Screen Takeoff,technical
skill_adobe_indesign,Adobe InDesign,technical
skill_adobe_illustrator,Adobe Illustrator,technical
skill_adobe_after_effects,Adobe After Effects,technical
skill_cisco_webex,Cisco Webex,technical
skill_yardi_software,Yardi software,technical
skill_the_mathworks_matlab,The MathWorks MATLAB,technical
skill_teradata_database,Teradata Database,technical
skill_splunk_enterprise,Splunk Enterprise,technical
skill_slack,Slack,technical
skill_shell_script,Shell script,technical
skill_sas,SAS,technical
skill_r,R,technical
skill_puppet,Puppet,technical
skill_postgresql,PostgreSQL,technical
skill_oracle_primavera_enterprise_project_portfolio_management,Oracle Primavera Enterprise Project Portfolio Management,technical
skill_hypertext_markup_language_html,Hypertext markup language HTML,technical
skill_oracle_database,Oracle Database,technical
skill_javascript,JavaScript,technical
skill_amazon_redshift,Amazon Redshift,technical
skill_oracle_pl_sql,Oracle PL/SQL,technical
skill_nosql,NoSQL,technical
skill_mysql,MySQL,technical
skill_microsoft_teams,Microsoft Teams,technical
skill_microsoft_azure_software,Microsoft Azure software,technical
skill_google_looker_analytics,Google Looker Analytics,technical
skill_github,GitHub,technical
skill_figma,Figma,technical
skill_elasticsearch,Elasticsearch,technical
skill_cascading_style_sheets_css,Cascading style sheets CSS,technical
skill_kubernetes,Kubernetes,technical
skill_c,C,technical
skill_asana,Asana,technical
skill_apache_hive,Apache Hive,technical
skill_apache_cassandra,Apache Cassandra,technical
skill_wordpress,WordPress,technical
skill_mozilla_firefox,Mozilla Firefox,technical
skill_microsoft_windows,Microsoft Windows,technical
skill_microsoft_visual_basic_for_applications_vba,Microsoft Visual Basic for Applications VBA,technical
skill_sap_software,SAP software,technical
skill_php,PHP,technical
