osca_code,osca_title,onet_code,onet_title,similarity_score,second_similarity_score,score_gap,candidate_count,mapping_status,mapping_method
732934,Concrete Pump Operator,,,0.0484283948602321,0.0317392877361077,0.0166891071241244,5,manual_review,manual_review
732935,Railway Signal Operator,,,0.1404303709361098,0.0859009732756194,0.054529397660490406,6,manual_review,manual_review
741934,Railway Shunter,,,0.2014392717581901,0.1805635550045282,0.0208757167536619,6,manual_review,manual_review
399937,Railway Network Controller,,,0.1825047143992406,0.1205745330537972,0.0619301813454434,6,manual_review,manual_review
732431,Wastewater or Water Plant Operator,,,0.1540258945654974,0.0597123664700562,0.09431352809544119,5,manual_review,manual_review
732936,Weighbridge Operator,,,0.1499688782023895,0.0374171949465123,0.1125516832558772,3,manual_review,manual_review
741131,Agricultural and Horticultural Mobile Plant Operator,,,0.0945782188714823,0.0,0.0945782188714823,2,manual_review,manual_review
741132,Logging Plant Operator,,,0.2936378097168181,0.2714093404668672,0.022228469249950866,7,manual_review,manual_review
741231,Earthmoving Plant Operator (General),,,0.0776963586312614,0.0481740685838485,0.0295222900474129,6,manual_review,manual_review
741232,Backhoe Operator,,,0.0855393563890864,0.057959364456281,0.0275799919328054,6,manual_review,manual_review
741233,Bulldozer Operator,,,0.1258388125401133,0.0413575309338644,0.0844812816062489,6,manual_review,manual_review
741234,Excavator Operator,,,0.1548266086183759,0.1081399055446306,0.04668670307374531,6,manual_review,manual_review
741235,Grader Operator,,,0.0812467574368966,0.0496618281306116,0.031584929306285,6,manual_review,manual_review
741236,Loader Operator,,,0.0437558905453964,0.0326100955890397,0.011145794956356703,6,manual_review,manual_review
741331,Forklift Driver,,,0.1084859936814155,0.0681001605531027,0.0403858331283128,4,manual_review,manual_review
741931,Aircraft Baggage Handler and Ground Crew,53-1041.00,Aircraft Cargo Handling Supervisors,0.310905907566575,0.1361095264014701,0.1747963811651049,6,accepted,score_and_gap_rule
741933,Linemarker,,,0.0305481018159049,0.0235900422036342,0.006958059612270702,4,manual_review,manual_review
741999,Mobile Plant Operators nec,,,,,,6,manual_review,manual_review
741935,Railway Track Plant Operator,,,0.0605709686308116,0.0361419027645618,0.0244290658662498,6,manual_review,manual_review
741936,Road Roller Operator,,,0.0192114411133644,0.0158586260883197,0.003352815025044701,6,manual_review,manual_review
741938,Streetsweeper Operator,,,0.0866102033912316,0.0267946768589165,0.0598155265323151,6,manual_review,manual_review
741237,Tunnel Constructor,,,0.1030538367436946,0.0975417390401183,0.005512097703576302,6,manual_review,manual_review
741937,Stevedore,53-1041.00,Aircraft Cargo Handling Supervisors,0.3111315406161267,0.2061804246598066,0.10495111595632009,13,accepted,score_and_gap_rule
711131,Chauffeur,,,0.3800646547433512,0.3533345528172144,0.02673010192613684,8,manual_review,manual_review
711134,Taxi Driver,53-3054.00,Taxi Drivers,0.3895415651756125,0.3251274662860302,0.06441409888958233,8,accepted,score_and_gap_rule
711132,Oversize Load Pilot Escort,,,0.0823451484106723,0.0721304261865162,0.010214722224156092,8,manual_review,manual_review
711133,Rideshare Driver,,,0.3895798046805159,0.3700709094754572,0.01950889520505872,8,manual_review,manual_review
711199,Automobile Drivers nec,,,,,,8,manual_review,manual_review
711231,Bus Driver,53-3052.00,"Bus Drivers, Transit and Intercity",0.5348392373284755,0.376456122389628,0.1583831149388475,7,accepted,score_and_gap_rule
711232,Charter and Tour Bus Driver,53-3052.00,"Bus Drivers, Transit and Intercity",0.3155867977236576,0.2563423722696225,0.05924442545403513,7,accepted,score_and_gap_rule
711233,Passenger Coach Driver,53-3052.00,"Bus Drivers, Transit and Intercity",0.4091263857157158,0.312704244563804,0.09642214115191178,7,accepted,score_and_gap_rule
711331,Freight Train Driver,,,0.2148010188271106,0.1425038921383685,0.07229712668874211,8,manual_review,manual_review
711332,Passenger Train Driver,,,0.2060721707262893,0.1006241862487854,0.1054479844775039,8,manual_review,manual_review
711333,Tram Driver,,,0.129565171814994,0.0829066139565979,0.046658557858396094,7,manual_review,manual_review
713131,Truck Driver (General),,,0.19419819013047,0.0287753340328746,0.16542285609759538,4,manual_review,manual_review
713231,Articulated Truck Driver,,,0.2050117385642854,0.060043810329853,0.14496792823443239,4,manual_review,manual_review
741932,Aircraft Refueller,,,0.0981418277932643,0.0938671641316647,0.004274663661599606,4,manual_review,manual_review
712131,Furniture Removalist,,,0.1492301297198124,0.1104080979034813,0.03882203181633109,4,manual_review,manual_review
713232,Tanker Truck Driver,,,0.0736606086187405,0.0346692121103063,0.03899139650843421,4,manual_review,manual_review
713132,Tow Truck Driver,,,0.1189994561259478,0.0964039461163623,0.0225955100095855,4,manual_review,manual_review
721131,Storeperson,,,0.1457626898395207,0.13778681671707,0.00797587312245071,14,manual_review,manual_review
721132,Warehouse Supervisor,,,0.104859938238418,0.0765482471542642,0.028311691084153795,14,manual_review,manual_review
811531,Vehicle Detailer,53-7061.00,Cleaners of Vehicles and Equipment,0.2447773022142771,,,1,accepted,single_candidate
811131,Commercial Cleaner,,,0.1864595110417454,0.156490718284919,0.0299687927568264,5,manual_review,manual_review
811231,Domestic Cleaner,37-2012.00,Maids and Housekeeping Cleaners,0.1372516803624312,,,1,accepted,single_candidate
811431,Commercial Housekeeper,,,0.2077359850082782,0.0964219650485434,0.11131401995973479,4,manual_review,manual_review
811432,Domestic Housekeeper,,,0.0535308518991503,0.0126153490188058,0.0409155028803445,3,manual_review,manual_review
811332,Laundry Worker,51-6011.00,Laundry and Dry-Cleaning Workers,0.3984748677964671,0.3028379188329415,0.09563694896352565,2,accepted,score_and_gap_rule
811331,Drycleaner,51-6011.00,Laundry and Dry-Cleaning Workers,0.3430263749933503,0.1398932078024131,0.2031331671909372,2,accepted,score_and_gap_rule
811931,Carpet Cleaner,,,0.0312509478102218,,,2,manual_review,manual_review
811933,Window Cleaner,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.1147524169503132,,,1,accepted,single_candidate
811932,Roof Gutter Cleaner,,,0.0193360631661364,,,2,manual_review,manual_review
811999,Cleaners and Laundry Workers nec,,,,,,3,manual_review,manual_review
899937,Swimming Pool or Spa Technician,,,0.0239056378009761,,,2,manual_review,manual_review
821131,Asbestos Removalist,,,0.0657783421595208,0.0572604360782948,0.008517906081226004,8,manual_review,manual_review
821132,Builder's Labourer,,,0.17005490710452,0.1649248132893494,0.0051300938151706,8,manual_review,manual_review
821134,Demolition Labourer,,,0.1411001810661394,0.0980081287536003,0.0430920523125391,8,manual_review,manual_review
821632,Pipe Layer,47-2152.00,"Plumbers, Pipefitters, and Steamfitters",0.5040864288736671,0.4195977936122335,0.08448863526143358,3,accepted,score_and_gap_rule
821631,"Drainage, Sewerage and Stormwater Labourer",,,0.0339414925094275,0.0060108867560818,0.027930605753345696,3,manual_review,manual_review
821135,Earthmoving Labourer,,,0.0511579600144499,0.0191609526247089,0.031997007389741,3,manual_review,manual_review
821633,Plumber's Assistant,,,0.1795948405797169,0.076290834321211,0.10330400625850589,8,manual_review,manual_review
371231,Concreter,47-2051.00,Cement Masons and Concrete Finishers,0.4878965916626557,0.3139149518108812,0.1739816398517745,3,accepted,score_and_gap_rule
821133,Concreter's Labourer,,,0.2627394461247254,0.0863629337950634,0.17637651232966198,8,manual_review,manual_review
821331,Fencer,,,0.0498705215186622,0.038103020101681,0.0117675014169812,8,manual_review,manual_review
369933,Waterproofer,,,0.1220535978893249,0.0921962965795458,0.029857301309779108,2,manual_review,manual_review
821431,Building Insulation Installer,47-2132.00,"Insulation Workers, Mechanical",0.3634779259957573,0.2925934729454545,0.07088445305030278,2,accepted,score_and_gap_rule
369932,Swimming Pool and Spa Builder,,,0.0489761858013144,0.0474578549551902,0.0015183308461242037,6,manual_review,manual_review
821432,Garage Door Installer,,,0.028763706496076,0.0114956547326631,0.017268051763412902,9,manual_review,manual_review
821433,Shed Builder,11-9021.00,Construction Managers,0.0039573344775995,,,1,accepted,single_candidate
821434,Window Furnishing Installer,,,0.0469137916817103,0.0309976212077478,0.0159161704739625,9,manual_review,manual_review
821499,Home Improvement and Insulation Installers nec,,,,,,10,manual_review,manual_review
821531,Paving and Surfacing Labourer,,,0.1595690081436323,0.0331547677800699,0.1264142403635624,3,manual_review,manual_review
821934,Rail Protection Officer,,,0.0844028197667945,0.0737639710914998,0.010638848675294701,8,manual_review,manual_review
821935,Railway Track Worker,,,0.2853418222171064,0.0404415920302471,0.2449002301868593,3,manual_review,manual_review
821231,Construction Rigger,49-9096.00,Riggers,0.4543343496599761,,,1,accepted,single_candidate
821731,Scaffolder,,,0.0775766962504431,0.0225600623110432,0.0550166339393999,6,manual_review,manual_review
821732,Steel Fixer,,,0.0875020173553516,0.0488019184538584,0.038700098901493195,8,manual_review,manual_review
821733,Structural Steel Erector,47-2221.00,Structural Iron and Steel Workers,0.4240918821703234,0.0648176660280604,0.359274216142263,3,accepted,score_and_gap_rule
821232,Dogger,,,0.0230800443038291,0.0092433295243999,0.013836714779429202,8,manual_review,manual_review
821931,Driller's Offsider,,,0.1583418549423872,,,2,manual_review,manual_review
821932,Lagger,47-2132.00,"Insulation Workers, Mechanical",0.3414207420613299,0.2269621572264691,0.1144585848348608,2,accepted,score_and_gap_rule
821933,Mining Support Worker,,,0.0499998695296235,,,2,manual_review,manual_review
821936,Surveyor's Assistant,,,0.0356157505802432,0.004320569830945,0.0312951807492982,3,manual_review,manual_review
831131,Baking Factory Worker,,,0.1202365634367142,0.087198644818886,0.03303791861782819,6,manual_review,manual_review
