osca_code,osca_occupation,anzsco_code,match_flag,anzsco_occupation
231533,Screen Producer,212318,,Video Producer
231631,Composer,211211,,Composer
231632,Music Director,211212,,Music Director
231633,Musician (Instrumental),211213,,Musician (Instrumental)
231634,Singer,211214,,Singer
231699,Music Professionals nec,211199,p,"Actors, Dancers and Other Entertainers nec"
231699,Music Professionals nec,211299,,Music Professionals nec
231699,Music Professionals nec,212113,p,Radio Presenter
231731,Painter (Visual Arts),211411,,Painter (Visual Arts)
231732,Potter or Ceramic Artist,211412,,Potter or Ceramic Artist
231733,Sculptor,211413,,Sculptor
231799,Visual Arts and Crafts Professionals nec,211499,,Visual Arts and Crafts Professionals nec
231931,Community Arts Worker,272611,,Community Arts Worker
231932,Media Presenter,212113,p,Radio Presenter
231932,Media Presenter,212114,,Television Presenter
232131,Librarian,224611,p,Librarian
232231,Religious Leader,272211,,Minister of Religion
232331,Archaeologist,272414,,Archaeologist
232332,Archivist,224211,,Archivist
232333,Economist,224311,,Economist
232333,Economist,224511,p,Land Economist
232334,Gallery or Museum Curator,224212,,Gallery or Museum Curator
232335,Heritage Consultant,272499,p,Social Professionals nec
232336,Historian,272411,,Historian
232399,Social Science and Related Professionals nec,272499,p,Social Professionals nec
241131,Architect,232111,,Architect
241132,Landscape Architect,232112,p,Landscape Architect
241133,Urban Designer,232112,p,Landscape Architect
241133,Urban Designer,232611,p,Urban and Regional Planner
241231,Cartographer,232213,,Cartographer
241232,Engineering Surveyor,232212,p,Surveyor
241233,Geospatial Specialist,232214,,Other Spatial Scientist
241234,Land Surveyor,232212,p,Surveyor
241235,Mine Surveyor,232212,p,Surveyor
241299,Geospatial Information Professionals and Surveyors nec,232212,p,Surveyor
241331,Urban and Regional Planner,232611,p,Urban and Regional Planner
241931,Building Surveyor,312113,p,Building Inspector
241932,Quantity Surveyor,233213,,Quantity Surveyor
242131,Multimedia Designer,232413,p,Multimedia Designer
242131,Multimedia Designer,261211,p,Multimedia Specialist
242132,UI / UX Designer,261113,,User Experience Designer
242133,Web Designer,232414,,Web Designer
242231,Fashion Designer,232311,p,Fashion Designer
242232,Industrial Designer,232312,p,Industrial Designer
242233,Jewellery Designer,232313,,Jewellery Designer
242234,Textile Designer,232312,p,Industrial Designer
242331,Animator or Visual Effects Artist,232411,p,Graphic Designer
242331,Animator or Visual Effects Artist,232412,p,Illustrator
242331,Animator or Visual Effects Artist,232413,p,Multimedia Designer
242332,Graphic Designer,232411,p,Graphic Designer
242333,Illustrator,232412,p,Illustrator
242431,Interior Designer,232511,,Interior Designer
243131,Chemical Engineer,233111,,Chemical Engineer
243132,Extractive Metallurgist,234912,p,Metallurgist
243133,Materials Engineer,233112,,Materials Engineer
243133,Materials Engineer,233999,p,Engineering Professionals nec
243133,Materials Engineer,234912,p,Metallurgist
